elapsed_s,beacon_letter,rssi,accuracy_m,proximity,pos_x,pos_y,nearest_letter,distance_to_nearest,confidence,motion_state,accel_magnitude,filtered_pos_x,filtered_pos_y
2.51,A,-73,5.99,Far,7.87,28.51,E,3.29,weak,stationary,0.0000,7.87,28.51
2.51,B,-84,24.48,Far,7.87,28.51,E,3.29,weak,stationary,0.0000,7.87,28.51
2.51,C,-79,12.92,Far,7.87,28.51,E,3.29,weak,stationary,0.0000,7.87,28.51
2.51,E,-78,11.36,Far,7.87,28.51,E,3.29,weak,stationary,0.0000,7.87,28.51
2.51,F,-87,3.59,Far,7.87,28.51,E,3.29,weak,stationary,0.0000,7.87,28.51
2.51,H,-91,5.99,Far,7.87,28.51,E,3.29,weak,stationary,0.0000,7.87,28.51
2.51,K,-89,4.64,Far,7.87,28.51,E,3.29,weak,stationary,0.0000,7.87,28.51
2.51,M,-99,16.68,Near,7.87,28.51,E,3.29,weak,stationary,0.0000,7.87,28.51
3.51,A,-72,4.23,Far,7.87,28.49,E,3.28,weak,stationary,0.0053,7.87,28.49
3.51,B,-84,23.55,Far,7.87,28.49,E,3.28,weak,stationary,0.0053,7.87,28.49
3.51,C,-79,12.19,Far,7.87,28.49,E,3.28,weak,stationary,0.0053,7.87,28.49
3.51,E,-79,13.36,Far,7.87,28.49,E,3.28,weak,stationary,0.0053,7.87,28.49
3.51,F,-86,2.96,Far,7.87,28.49,E,3.28,weak,stationary,0.0053,7.87,28.49
3.51,H,-92,7.49,Far,7.87,28.49,E,3.28,weak,stationary,0.0053,7.87,28.49
3.51,K,-88,3.87,Far,7.87,28.49,E,3.28,weak,stationary,0.0053,7.87,28.49
3.51,M,-99,16.68,Far,7.87,28.49,E,3.28,weak,stationary,0.0053,7.87,28.49
4.51,A,-71,3.73,Far,7.87,28.48,E,3.27,weak,stationary,0.0043,7.87,28.48
4.51,B,-85,25.57,Far,7.87,28.48,E,3.27,weak,stationary,0.0043,7.87,28.48
4.51,C,-78,11.41,Far,7.87,28.48,E,3.27,weak,stationary,0.0043,7.87,28.48
4.51,E,-80,14.28,Far,7.87,28.48,E,3.27,weak,stationary,0.0043,7.87,28.48
4.51,F,-86,3.05,Far,7.87,28.48,E,3.27,weak,stationary,0.0043,7.87,28.48
4.51,H,-93,8.31,Far,7.87,28.48,E,3.27,weak,stationary,0.0043,7.87,28.48
4.51,K,-89,4.73,Far,7.87,28.48,E,3.27,weak,stationary,0.0043,7.87,28.48
4.51,M,-99,16.68,Far,7.87,28.48,E,3.27,weak,stationary,0.0043,7.87,28.48
5.51,A,-70,3.53,Far,7.88,28.47,E,3.25,weak,stationary,0.0047,7.88,28.47
5.51,B,-86,27.97,Far,7.88,28.47,E,3.25,weak,stationary,0.0047,7.88,28.47
5.51,C,-78,11.03,Far,7.88,28.47,E,3.25,weak,stationary,0.0047,7.88,28.47
5.51,E,-80,14.38,Far,7.88,28.47,E,3.25,weak,stationary,0.0047,7.88,28.47
5.51,F,-85,2.68,Near,7.88,28.47,E,3.25,weak,stationary,0.0047,7.88,28.47
5.51,H,-93,8.74,Far,7.88,28.47,E,3.25,weak,stationary,0.0047,7.88,28.47
5.51,K,-89,4.70,Far,7.88,28.47,E,3.25,weak,stationary,0.0047,7.88,28.47
5.51,M,-69,-1.00,Unknown,7.88,28.47,E,3.25,weak,stationary,0.0047,7.88,28.47
6.51,A,-69,3.43,Far,7.90,28.47,E,3.24,weak,stationary,0.0051,7.90,28.47
6.51,B,-86,27.95,Far,7.90,28.47,E,3.24,weak,stationary,0.0051,7.90,28.47
6.51,C,-78,10.80,Far,7.90,28.47,E,3.24,weak,stationary,0.0051,7.90,28.47
6.51,E,-79,13.62,Far,7.90,28.47,E,3.24,weak,stationary,0.0051,7.90,28.47
6.51,F,-85,2.61,Near,7.90,28.47,E,3.24,weak,stationary,0.0051,7.90,28.47
6.51,H,-93,8.48,Far,7.90,28.47,E,3.24,weak,stationary,0.0051,7.90,28.47
6.51,K,-89,4.35,Far,7.90,28.47,E,3.24,weak,stationary,0.0051,7.90,28.47
6.51,M,-49,-1.00,Unknown,7.90,28.47,E,3.24,weak,stationary,0.0051,7.90,28.47
7.51,A,-69,3.25,Far,7.91,28.46,E,3.23,weak,stationary,0.0140,7.91,28.46
7.51,B,-86,28.43,Far,7.91,28.46,E,3.23,weak,stationary,0.0140,7.91,28.46
7.51,C,-77,10.37,Far,7.91,28.46,E,3.23,weak,stationary,0.0140,7.91,28.46
7.51,E,-79,12.78,Far,7.91,28.46,E,3.23,weak,stationary,0.0140,7.91,28.46
7.51,F,-86,2.94,Near,7.91,28.46,E,3.23,weak,stationary,0.0140,7.91,28.46
7.51,H,-94,8.75,Far,7.91,28.46,E,3.23,weak,stationary,0.0140,7.91,28.46
7.51,K,-88,4.29,Far,7.91,28.46,E,3.23,weak,stationary,0.0140,7.91,28.46
7.51,M,-63,15.66,Far,7.91,28.46,E,3.23,weak,stationary,0.0140,7.91,28.46
8.51,A,-68,2.91,Far,7.91,28.45,E,3.22,weak,stationary,0.0692,7.91,28.45
8.51,B,-87,30.27,Far,7.91,28.45,E,3.22,weak,stationary,0.0692,7.91,28.45
8.51,C,-78,10.72,Far,7.91,28.45,E,3.22,weak,stationary,0.0692,7.91,28.45
8.51,E,-79,12.80,Far,7.91,28.45,E,3.22,weak,stationary,0.0692,7.91,28.45
8.51,F,-87,3.16,Far,7.91,28.45,E,3.22,weak,stationary,0.0692,7.91,28.45
8.51,H,-94,9.14,Far,7.91,28.45,E,3.22,weak,stationary,0.0692,7.91,28.45
8.51,K,-87,3.54,Far,7.91,28.45,E,3.22,weak,stationary,0.0692,7.91,28.45
8.51,M,-73,13.75,Far,7.91,28.45,E,3.22,weak,stationary,0.0692,7.91,28.45
9.51,A,-67,2.79,Far,7.91,28.43,E,3.20,weak,stationary,0.0807,7.91,28.43
9.51,B,-87,30.43,Far,7.91,28.43,E,3.20,weak,stationary,0.0807,7.91,28.43
9.51,C,-80,11.74,Far,7.91,28.43,E,3.20,weak,stationary,0.0807,7.91,28.43
9.51,E,-81,13.94,Far,7.91,28.43,E,3.20,weak,stationary,0.0807,7.91,28.43
9.51,F,-87,3.25,Far,7.91,28.43,E,3.20,weak,stationary,0.0807,7.91,28.43
9.51,H,-94,8.87,Far,7.91,28.43,E,3.20,weak,stationary,0.0807,7.91,28.43
9.51,K,-87,3.45,Far,7.91,28.43,E,3.20,weak,stationary,0.0807,7.91,28.43
9.51,M,-80,13.18,Far,7.91,28.43,E,3.20,weak,stationary,0.0807,7.91,28.43
10.51,A,-67,2.79,Far,7.92,28.42,K,3.19,weak,stationary,0.0339,7.92,28.42
10.51,B,-86,30.11,Far,7.92,28.42,K,3.19,weak,stationary,0.0339,7.92,28.42
10.51,C,-82,12.92,Far,7.92,28.42,K,3.19,weak,stationary,0.0339,7.92,28.42
10.51,E,-81,14.26,Far,7.92,28.42,K,3.19,weak,stationary,0.0339,7.92,28.42
10.51,F,-87,3.48,Far,7.92,28.42,K,3.19,weak,stationary,0.0339,7.92,28.42
10.51,H,-94,8.67,Far,7.92,28.42,K,3.19,weak,stationary,0.0339,7.92,28.42
10.51,K,-87,3.48,Far,7.92,28.42,K,3.19,weak,stationary,0.0339,7.92,28.42
10.51,M,-85,13.14,Far,7.92,28.42,K,3.19,weak,stationary,0.0339,7.92,28.42
11.51,A,-68,3.06,Far,7.97,27.82,K,2.72,weak,walking,0.1140,7.97,27.82
11.51,B,-86,29.40,Far,7.97,27.82,K,2.72,weak,walking,0.1140,7.97,27.82
11.51,C,-82,13.81,Far,7.97,27.82,K,2.72,weak,walking,0.1140,7.97,27.82
11.51,E,-80,14.32,Far,7.97,27.82,K,2.72,weak,walking,0.1140,7.97,27.82
11.51,F,-88,3.59,Far,7.97,27.82,K,2.72,weak,walking,0.1140,7.97,27.82
11.51,H,-95,9.35,Far,7.97,27.82,K,2.72,weak,walking,0.1140,7.97,27.82
11.51,K,-86,3.21,Far,7.97,27.82,K,2.72,weak,walking,0.1140,7.97,27.82
11.51,M,-88,13.10,Far,7.97,27.82,K,2.72,weak,walking,0.1140,7.97,27.82
12.51,A,-69,3.31,Far,8.46,27.47,K,2.13,weak,walking,0.0622,8.46,27.47
12.51,B,-86,29.61,Far,8.46,27.47,K,2.13,weak,walking,0.0622,8.46,27.47
12.51,C,-82,14.48,Far,8.46,27.47,K,2.13,weak,walking,0.0622,8.46,27.47
12.51,E,-80,14.12,Far,8.46,27.47,K,2.13,weak,walking,0.0622,8.46,27.47
12.51,F,-88,3.85,Far,8.46,27.47,K,2.13,weak,walking,0.0622,8.46,27.47
12.51,H,-96,9.87,Far,8.46,27.47,K,2.13,weak,walking,0.0622,8.46,27.47
12.51,K,-84,2.70,Near,8.46,27.47,K,2.13,weak,walking,0.0622,8.46,27.47
12.51,M,-62,-1.00,Unknown,8.46,27.47,K,2.13,weak,walking,0.0622,8.46,27.47
13.51,A,-69,3.28,Far,9.01,27.70,K,1.97,weak,walking,0.1564,9.01,27.70
13.51,B,-86,29.79,Far,9.01,27.70,K,1.97,weak,walking,0.1564,9.01,27.70
13.51,C,-82,14.51,Far,9.01,27.70,K,1.97,weak,walking,0.1564,9.01,27.70
13.51,E,-80,14.39,Far,9.01,27.70,K,1.97,weak,walking,0.1564,9.01,27.70
13.51,F,-89,4.22,Far,9.01,27.70,K,1.97,weak,walking,0.1564,9.01,27.70
13.51,H,-95,9.51,Far,9.01,27.70,K,1.97,weak,walking,0.1564,9.01,27.70
13.51,K,-83,2.19,Near,9.01,27.70,K,1.97,weak,walking,0.1564,9.01,27.70
13.51,M,-43,-1.00,Unknown,9.01,27.70,K,1.97,weak,walking,0.1564,9.01,27.70
14.51,A,-69,3.25,Far,9.57,27.48,K,1.54,weak,walking,0.0734,9.57,27.48
14.51,B,-86,30.27,Far,9.57,27.48,K,1.54,weak,walking,0.0734,9.57,27.48
14.51,C,-81,14.04,Far,9.57,27.48,K,1.54,weak,walking,0.0734,9.57,27.48
14.51,E,-81,14.63,Far,9.57,27.48,K,1.54,weak,walking,0.0734,9.57,27.48
14.51,F,-89,4.29,Far,9.57,27.48,K,1.54,weak,walking,0.0734,9.57,27.48
14.51,H,-94,9.02,Far,9.57,27.48,K,1.54,weak,walking,0.0734,9.57,27.48
14.51,K,-84,2.35,Near,9.57,27.48,K,1.54,weak,walking,0.0734,9.57,27.48
14.51,M,-59,13.07,Far,9.57,27.48,K,1.54,weak,walking,0.0734,9.57,27.48
15.51,A,-70,3.59,Far,9.72,26.90,K,0.94,weak,walking,0.0824,9.72,26.90
15.51,B,-85,28.73,Far,9.72,26.90,K,0.94,weak,walking,0.0824,9.72,26.90
15.51,C,-80,13.90,Far,9.72,26.90,K,0.94,weak,walking,0.0824,9.72,26.90
15.51,E,-81,15.02,Far,9.72,26.90,K,0.94,weak,walking,0.0824,9.72,26.90
15.51,F,-89,4.36,Far,9.72,26.90,K,0.94,weak,walking,0.0824,9.72,26.90
15.51,H,-94,8.99,Far,9.72,26.90,K,0.94,weak,walking,0.0824,9.72,26.90
15.51,K,-83,2.07,Near,9.72,26.90,K,0.94,weak,walking,0.0824,9.72,26.90
15.51,M,-71,13.70,Far,9.72,26.90,K,0.94,weak,walking,0.0824,9.72,26.90
16.51,A,-71,4.04,Far,9.73,26.30,K,0.41,weak,walking,0.1567,9.73,26.30
16.51,B,-85,28.65,Far,9.73,26.30,K,0.41,weak,walking,0.1567,9.73,26.30
16.51,C,-80,13.78,Far,9.73,26.30,K,0.41,weak,walking,0.1567,9.73,26.30
16.51,E,-80,14.75,Far,9.73,26.30,K,0.41,weak,walking,0.1567,9.73,26.30
16.51,F,-91,4.81,Far,9.73,26.30,K,0.41,weak,walking,0.1567,9.73,26.30
16.51,H,-94,8.80,Far,9.73,26.30,K,0.41,weak,walking,0.1567,9.73,26.30
16.51,K,-82,1.81,Near,9.73,26.30,K,0.41,weak,walking,0.1567,9.73,26.30
16.51,M,-80,14.17,Far,9.73,26.30,K,0.41,weak,walking,0.1567,9.73,26.30
17.51,A,-73,4.58,Far,9.69,25.70,K,0.43,weak,walking,0.0825,9.69,25.70
17.51,B,-85,28.88,Far,9.69,25.70,K,0.43,weak,walking,0.0825,9.69,25.70
17.51,C,-80,14.06,Far,9.69,25.70,K,0.43,weak,walking,0.0825,9.69,25.70
17.51,E,-80,14.75,Far,9.69,25.70,K,0.43,weak,walking,0.0825,9.69,25.70
17.51,F,-89,4.39,Far,9.69,25.70,K,0.43,weak,walking,0.0825,9.69,25.70
17.51,H,-93,8.47,Far,9.69,25.70,K,0.43,weak,walking,0.0825,9.69,25.70
17.51,K,-81,1.64,Near,9.69,25.70,K,0.43,weak,walking,0.0825,9.69,25.70
17.51,M,-85,13.94,Far,9.69,25.70,K,0.43,weak,walking,0.0825,9.69,25.70
18.51,A,-74,5.11,Far,9.69,25.69,K,0.44,weak,stationary,0.1559,9.69,25.69
18.51,B,-85,28.08,Far,9.69,25.69,K,0.44,weak,stationary,0.1559,9.69,25.69
18.51,C,-80,13.92,Far,9.69,25.69,K,0.44,weak,stationary,0.1559,9.69,25.69
18.51,E,-80,14.52,Far,9.69,25.69,K,0.44,weak,stationary,0.1559,9.69,25.69
18.51,F,-91,4.89,Far,9.69,25.69,K,0.44,weak,stationary,0.1559,9.69,25.69
18.51,H,-93,8.36,Far,9.69,25.69,K,0.44,weak,stationary,0.1559,9.69,25.69
18.51,K,-81,1.59,Near,9.69,25.69,K,0.44,weak,stationary,0.1559,9.69,25.69
18.51,M,-88,13.17,Far,9.69,25.69,K,0.44,weak,stationary,0.1559,9.69,25.69
19.51,A,-75,5.69,Far,9.61,25.09,K,0.99,weak,walking,0.0248,9.61,25.09
19.51,B,-84,27.74,Far,9.61,25.09,K,0.99,weak,walking,0.0248,9.61,25.09
19.51,C,-80,13.80,Far,9.61,25.09,K,0.99,weak,walking,0.0248,9.61,25.09
19.51,E,-80,14.54,Far,9.61,25.09,K,0.99,weak,walking,0.0248,9.61,25.09
19.51,F,-91,5.15,Far,9.61,25.09,K,0.99,weak,walking,0.0248,9.61,25.09
19.51,H,-95,8.87,Far,9.61,25.09,K,0.99,weak,walking,0.0248,9.61,25.09
19.51,K,-80,1.50,Near,9.61,25.09,K,0.99,weak,walking,0.0248,9.61,25.09
19.51,M,-91,13.13,Far,9.61,25.09,K,0.99,weak,walking,0.0248,9.61,25.09
20.51,A,-76,6.24,Far,9.18,22.62,K,2.75,weak,trotting,0.9703,9.18,22.62
20.51,B,-84,27.11,Far,9.18,22.62,K,2.75,weak,trotting,0.9703,9.18,22.62
20.51,C,-79,13.70,Far,9.18,22.62,K,2.75,weak,trotting,0.9703,9.18,22.62
20.51,E,-80,14.74,Far,9.18,22.62,K,2.75,weak,trotting,0.9703,9.18,22.62
20.51,F,-91,5.38,Far,9.18,22.62,K,2.75,weak,trotting,0.9703,9.18,22.62
20.51,H,-94,8.71,Far,9.18,22.62,K,2.75,weak,trotting,0.9703,9.18,22.62
20.51,K,-79,1.37,Near,9.18,22.62,K,2.75,weak,trotting,0.9703,9.18,22.62
20.51,M,-93,13.51,Far,9.18,22.62,K,2.75,weak,trotting,0.9703,9.18,22.62
21.51,A,-77,6.92,Far,8.78,20.16,K,1.23,weak,trotting,0.5653,8.78,20.16
21.51,B,-82,24.89,Far,8.78,20.16,K,1.23,weak,trotting,0.5653,8.78,20.16
21.51,C,-79,13.17,Far,8.78,20.16,K,1.23,weak,trotting,0.5653,8.78,20.16
21.51,E,-80,14.73,Far,8.78,20.16,K,1.23,weak,trotting,0.5653,8.78,20.16
21.51,F,-91,5.48,Far,8.78,20.16,K,1.23,weak,trotting,0.5653,8.78,20.16
21.51,H,-93,8.01,Far,8.78,20.16,K,1.23,weak,trotting,0.5653,8.78,20.16
21.51,K,-79,1.30,Near,8.78,20.16,K,1.23,weak,trotting,0.5653,8.78,20.16
21.51,M,-95,13.85,Far,8.78,20.16,K,1.23,weak,trotting,0.5653,8.78,20.16
22.51,A,-78,7.65,Far,8.73,19.28,K,1.46,weak,trotting,0.2114,8.73,19.28
22.51,B,-81,22.21,Far,8.73,19.28,K,1.46,weak,trotting,0.2114,8.73,19.28
22.51,C,-78,12.49,Far,8.73,19.28,K,1.46,weak,trotting,0.2114,8.73,19.28
