elapsed_s,beacon_letter,rssi,accuracy_m,proximity,pos_x,pos_y,nearest_letter,distance_to_nearest,confidence,motion_state,accel_magnitude,filtered_pos_x,filtered_pos_y
20.31,A,-84,13.83,Far,17.55,7.32,F,2.78,weak,trotting,0.7154,17.55,7.32
20.31,B,0,-1.00,Unknown,17.55,7.32,F,2.78,weak,trotting,0.7154,17.55,7.32
20.31,C,-81,21.27,Far,17.55,7.32,F,2.78,weak,trotting,0.7154,17.55,7.32
21.31,A,-85,14.73,Far,16.71,9.67,F,4.93,weak,trotting,0.1900,16.71,9.67
21.31,B,0,-1.00,Unknown,16.71,9.67,F,4.93,weak,trotting,0.1900,16.71,9.67
21.31,C,-79,20.18,Far,16.71,9.67,F,4.93,weak,trotting,0.1900,16.71,9.67
22.31,A,-86,15.71,Far,15.88,12.03,P,7.26,weak,trotting,0.0217,15.88,12.03
22.31,B,0,-1.00,Unknown,15.88,12.03,P,7.26,weak,trotting,0.0217,15.88,12.03
22.31,C,-82,20.08,Far,15.88,12.03,P,7.26,weak,trotting,0.0217,15.88,12.03
23.31,A,-89,17.00,Far,15.68,12.60,P,6.92,weak,walking,0.0175,15.68,12.60
23.31,B,0,-1.00,Unknown,15.68,12.60,P,6.92,weak,walking,0.0175,15.68,12.60
23.31,C,-80,19.47,Far,15.68,12.60,P,6.92,weak,walking,0.0175,15.68,12.60
24.31,A,0,-1.00,Unknown,15.68,12.61,P,6.91,weak,stationary,0.0133,15.68,12.61
24.31,B,0,-1.00,Unknown,15.68,12.61,P,6.91,weak,stationary,0.0133,15.68,12.61
24.31,C,-80,18.94,Far,15.68,12.61,P,6.91,weak,stationary,0.0133,15.68,12.61
25.31,A,-93,20.18,Far,15.69,12.60,P,6.91,weak,stationary,0.2274,15.69,12.60
25.31,B,-90,24.53,Far,15.69,12.60,P,6.91,weak,stationary,0.2274,15.69,12.60
25.31,C,-81,18.72,Far,15.69,12.60,P,6.91,weak,stationary,0.2274,15.69,12.60
26.31,A,-86,20.96,Far,16.49,10.24,F,5.50,weak,trotting,0.2469,16.49,10.24
26.31,B,-88,25.55,Far,16.49,10.24,F,5.50,weak,trotting,0.2469,16.49,10.24
26.31,C,-79,18.01,Far,16.49,10.24,F,5.50,weak,trotting,0.2469,16.49,10.24
27.31,A,-83,21.02,Far,17.30,7.88,F,3.29,weak,trotting,0.6458,17.30,7.88
27.31,B,-88,26.52,Far,17.30,7.88,F,3.29,weak,trotting,0.6458,17.30,7.88
27.31,C,-80,17.65,Far,17.30,7.88,F,3.29,weak,trotting,0.6458,17.30,7.88
28.31,A,-84,21.32,Far,17.43,10.37,F,5.07,weak,trotting,0.6463,17.43,10.37
28.31,B,-90,27.81,Far,17.43,10.37,F,5.07,weak,trotting,0.6463,17.43,10.37
28.31,C,-81,17.56,Far,17.43,10.37,F,5.07,weak,trotting,0.6463,17.43,10.37
29.31,A,-88,22.35,Far,16.61,12.74,P,6.26,weak,trotting,0.2503,16.61,12.74
29.31,B,0,-1.00,Unknown,16.61,12.74,P,6.26,weak,trotting,0.2503,16.61,12.74
